treatment,control,true_effect,N,bwfactor,bias,se,rmse,avse,coverage_rate
3.0,2.0,5.0,2000,0.25,0.0026969556374796255,0.6467546662455429,0.64667944066633,1.0737078932366702,0.99474999999999791
3.0,2.0,5.0,2000,0.5,-0.0025061441280369579,0.38938984740439841,0.38934923642752362,0.65378138969512989,0.99649999999999994
3.0,2.0,5.0,2000,0.75,-0.026556486709125693,0.33071045910172814,0.331733797484773,0.53633784113934846,0.99649999999999883
3.0,2.0,5.0,2000,1.0,-0.057413918292603228,0.29553090511995439,0.30101999811600155,0.46934267875023111,0.99325000000000108
3.0,2.0,5.0,2000,1.25,-0.098853676003733071,0.27579061926322385,0.29293941321820355,0.42541974968456203,0.98924999999999819
3.0,2.0,5.0,2000,1.5,-0.14918135419950929,0.26343722181139734,0.30271586757889374,0.39466771772475667,0.98199999999999943
3.0,2.0,5.0,2000,1.75,-0.20459748955235835,0.25954009642982384,0.330460820855537,0.37193895539791738,0.9670000000000003
3.0,2.0,5.0,2000,2.0,-0.26470992871314714,0.262361145399657,0.37267614443654024,0.35370457861275523,0.93625000000000058
3.0,2.0,5.0,4000,0.25,0.013803824335652415,0.40208853677984796,0.40227517718372319,0.70023706504691519,0.99849999999999828
3.0,2.0,5.0,4000,0.5,0.0049108893308416057,0.28914709572390579,0.28915265568354692,0.49205380296132728,0.99924999999999975
3.0,2.0,5.0,4000,0.75,-0.012088388683152651,0.24507333462489245,0.24534068812629467,0.40363529634796069,0.99850000000000139
3.0,2.0,5.0,4000,1.0,-0.036358929978072219,0.21978103682567196,0.22274110534717331,0.35240085463493875,0.99775000000000025
3.0,2.0,5.0,4000,1.25,-0.0672317832277427,0.20293102948133326,0.21375411142631398,0.3184072774841975,0.99450000000000061
3.0,2.0,5.0,4000,1.5,-0.10384966373488069,0.19256624866549668,0.21876298211287404,0.29430947853769235,0.98825000000000018
3.0,2.0,5.0,4000,1.75,-0.14567994451664124,0.18594798889434888,0.2362004586036629,0.27641886678670419,0.97625000000000106
3.0,2.0,5.0,4000,2.0,-0.19183683153962861,0.1822771033218912,0.26460915723948136,0.26266156264647955,0.95049999999999935
3.0,2.0,5.0,8000,0.25,0.013065193433350331,0.30657273590492573,0.30681271969897644,0.5273398665829,0.99675
3.0,2.0,5.0,8000,0.5,0.0067236296203256884,0.2188500279732615,0.21892594205685775,0.3725149083944842,0.99899999999999856
3.0,2.0,5.0,8000,0.75,-0.0063877658064201981,0.18178886745532208,0.18187834968627759,0.30517775359682547,0.99824999999999875
3.0,2.0,5.0,8000,1.0,-0.024368746465719404,0.16301083583744394,0.16480207908755884,0.26583633999274403,0.99674999999999925
3.0,2.0,5.0,8000,1.25,-0.047246447935350488,0.15139272134026174,0.15857570109666538,0.23956805318281121,0.99349999999999927
3.0,2.0,5.0,8000,1.5,-0.07439669247358438,0.14352160931978411,0.16164210645640623,0.22074054062962159,0.9892500000000003
3.0,2.0,5.0,8000,1.75,-0.10526548649467848,0.13770319689041519,0.17331547114494794,0.20662211686620646,0.97849999999999837
3.0,2.0,5.0,8000,2.0,-0.13973709855446614,0.13357300260736477,0.19329703386552832,0.19569328860390584,0.9587500000000001
4.0,2.0,12.0,2000,0.25,0.27376031712887183,0.6846549778903418,0.73727875452560954,1.1031148045909578,0.99775000000000091
4.0,2.0,12.0,2000,0.5,0.26443796351178328,0.4243933570125788,0.49999213053036212,0.67964560025425669,0.99825000000000008
4.0,2.0,12.0,2000,0.75,0.301012708907761,0.36777576396572637,0.47521978991978447,0.56261077309260787,0.99274999999999858
4.0,2.0,12.0,2000,1.0,0.36148172108052279,0.33871918652189059,0.49534941134674915,0.4984766080065241,0.97475000000000189
4.0,2.0,12.0,2000,1.25,0.43561296348468659,0.32424866654334306,0.54301893835445492,0.45832906449057859,0.933750000000001
4.0,2.0,12.0,2000,1.5,0.52165909031629987,0.32012912765421031,0.61203369532867835,0.43172806271317715,0.85849999999999782
4.0,2.0,12.0,2000,1.75,0.61984863877098206,0.32146302958006912,0.69822989033209359,0.41374780808600325,0.73150000000000026
4.0,2.0,12.0,2000,2.0,0.72459042241525218,0.3257104859722636,0.79441304061425411,0.40150585097653058,0.57149999999999956
4.0,2.0,12.0,4000,0.25,0.23944427474397934,0.43889715864298934,0.49991611185637724,0.723602028250506,0.99850000000000072
4.0,2.0,12.0,4000,0.5,0.2571120843560486,0.32020111939196089,0.4106211740675082,0.5116559017559964,0.99699999999999889
4.0,2.0,12.0,4000,0.75,0.28699165442210273,0.27629842396829019,0.39835404302018446,0.423129761399723,0.98524999999999818
4.0,2.0,12.0,4000,1.0,0.32892789435682523,0.25362091976468515,0.41533245687708487,0.37309437815159352,0.95625000000000049
4.0,2.0,12.0,4000,1.25,0.38103071169978087,0.24366722872905236,0.45226461080358016,0.34099295831179449,0.89774999999999849
4.0,2.0,12.0,4000,1.5,0.44535479458153304,0.24004640826950802,0.5059137926666234,0.31914481615137685,0.779
4.0,2.0,12.0,4000,1.75,0.51789375023245832,0.23910534407484851,0.57041301637812936,0.3037101618492915,0.62375
4.0,2.0,12.0,4000,2.0,0.59834661005550771,0.23992371955979019,0.64464538013122807,0.29258122029293515,0.45725000000000116
